,playbackTime,curTime,renderTime,cameraX,cameraY,cameraZ,HPTime,curHP,maxHP,isDead
1730,1616313877801,777.7281494140625,1616313877802,6827.3564453125,1911.8480224609375,7731.78125,1616313877818,,,True
1731,1616313877899,778.1293334960938,1616313877899,6827.3564453125,1911.8480224609375,7731.78125,1616313877907,,,True
1732,1616313877984,778.461669921875,1616313877984,6827.3564453125,1911.8480224609375,7731.78125,1616313877995,,,True
1733,1616313878082,778.8612670898438,1616313878082,6827.3564453125,1911.8480224609375,7731.78125,1616313878092,,,True
1734,1616313878166,779.1947631835938,1616313878166,6827.3564453125,1911.8480224609375,7731.78125,1616313878174,,,True
1735,1616313878250,779.5281372070312,1616313878251,6827.3564453125,1911.8480224609375,7731.78125,1616313878269,,,True
1736,1616313878349,779.9277954101562,1616313878349,6827.3564453125,1911.8480224609375,7731.78125,1616313878358,,,True
1737,1616313878432,780.2612915039062,1616313878432,6827.3564453125,1911.8480224609375,7731.78125,1616313878442,,,True
1738,1616313878517,780.5951538085938,1616313878517,6827.3564453125,1911.8480224609375,7731.78125,1616313878536,,,True
1739,1616313878615,780.9949951171875,1616313878615,6827.3564453125,1911.8480224609375,7731.78125,1616313878623,,,True
1740,1616313878699,781.3279418945312,1616313878699,6827.3564453125,1911.8480224609375,7731.78125,1616313878706,,,True
1741,1616313878784,781.6614990234375,1616313878784,6827.3564453125,1911.8480224609375,7731.78125,1616313878802,,,True
1742,1616313878898,782.1273803710938,1616313878874,6827.3564453125,1911.8480224609375,7731.78125,1616313878893,,,True
1743,1616313878998,782.5277709960938,1616313878999,6827.3564453125,1911.8480224609375,7731.78125,1616313878994,,,True
1744,1616313879086,782.8613891601562,1616313879085,6827.3564453125,1911.8480224609375,7731.78125,1616313879098,,,True
1745,1616313879182,783.2615966796875,1616313879182,6827.3564453125,1911.8480224609375,7731.78125,1616313879191,,,True
1746,1616313879265,783.5950927734375,1616313879266,6827.3564453125,1911.8480224609375,7731.78125,1616313879287,,,True
1747,1616313879365,783.9942626953125,1616313879365,6827.3564453125,1911.8480224609375,7731.78125,1616313879375,,,True
1748,1616313879449,784.3287963867188,1616313879449,6827.3564453125,1911.8480224609375,7731.78125,1616313879458,,,True
1749,1616313879517,784.5943603515625,1616313879549,6827.3564453125,1911.8480224609375,7731.78125,1616313879547,,,True
1750,1616313879632,785.0614013671875,1616313879632,6827.3564453125,1911.8480224609375,7731.78125,1616313879640,,,True
1751,1616313879700,785.3274536132812,1616313879731,6827.3564453125,1911.8480224609375,7731.78125,1616313879729,,,True
1752,1616313879816,785.7947998046875,1616313879816,6827.3564453125,1911.8480224609375,7731.78125,1616313879824,,,True
1753,1616313879915,786.19482421875,1616313879915,6827.3564453125,1911.8480224609375,7731.78125,1616313879911,,,True
1754,1616313880004,786.527587890625,1616313880004,6827.3564453125,1911.8480224609375,7731.78125,1616313880018,,,True
1755,1616313880098,786.9273681640625,1616313880098,6827.3564453125,1911.8480224609375,7731.78125,1616313880107,,,True
1756,1616313880183,787.2614135742188,1616313880183,6827.3564453125,1911.8480224609375,7731.78125,1616313880194,,,True
1757,1616313880284,787.661376953125,1616313880284,6827.3564453125,1911.8480224609375,7731.78125,1616313880295,,,True
1758,1616313880381,788.060791015625,1616313880382,6827.3564453125,1911.8480224609375,7731.78125,1616313880393,,,True
1759,1616313880500,788.5272827148438,1616313880500,6827.3564453125,1911.8480224609375,7731.78125,1616313880488,,,True
1760,1616313880598,788.9278564453125,1616313880598,6827.3564453125,1911.8480224609375,7731.78125,1616313880593,,,True
1761,1616313880683,789.2628173828125,1616313880683,6827.3564453125,1911.8480224609375,7731.78125,1616313880699,,,True
1762,1616313880799,789.7293701171875,1616313880775,6827.3564453125,1911.8480224609375,7731.78125,1616313880801,,,True
1763,1616313880883,790.0607299804688,1616313880882,6827.3564453125,1911.8480224609375,7731.78125,1616313880895,,,True
1764,1616313880984,790.460693359375,1616313880984,6827.3564453125,1911.8480224609375,7731.78125,1616313880996,,,True
1765,1616313881082,790.861083984375,1616313881082,6827.3564453125,1911.8480224609375,7731.78125,1616313881090,,,True
1766,1616313881168,791.1953125,1616313881167,6827.3564453125,1911.8480224609375,7731.78125,1616313881181,,,True
1767,1616313881283,791.6611938476562,1616313881283,6827.3564453125,1911.8480224609375,7731.78125,1616313881268,,,True
1768,1616313881367,791.9940185546875,1616313881367,6827.3564453125,1911.8480224609375,7731.78125,1616313881379,,,True
1769,1616313881467,792.3959350585938,1616313881467,6827.3564453125,1911.8480224609375,7731.78125,1616313881483,,,True
1770,1616313881569,792.7941284179688,1616313881569,6827.3564453125,1911.8480224609375,7731.78125,1616313881584,,,True
1771,1616313881668,793.2015380859375,1616313881668,6827.3564453125,1911.8480224609375,7731.78125,1616313881682,,,True
1772,1616313881766,793.5941162109375,1616313881766,6827.3564453125,1911.8480224609375,7731.78125,1616313881775,,,True
1773,1616313881851,793.927734375,1616313881851,6827.3564453125,1911.8480224609375,7731.78125,1616313881866,,,True
1774,1616313881950,794.3274536132812,1616313881950,6827.3564453125,1911.8480224609375,7731.78125,1616313881962,,,True
1775,1616313882065,794.7951049804688,1616313882043,6827.3564453125,1911.8480224609375,7731.78125,1616313882061,,,True
1776,1616313882152,795.127685546875,1616313882152,6827.3564453125,1911.8480224609375,7731.78125,1616313882164,,,True
1777,1616313882250,795.5274047851562,1616313882250,6827.3564453125,1911.8480224609375,7731.78125,1616313882261,,,True
1778,1616313882364,795.994384765625,1616313882381,14322.3251953125,1911.8480224609375,13070.140625,1616313882366,,,True
1779,1616313882466,796.3949584960938,1616313882467,14220.642578125,1911.8480224609375,12890.4833984375,1616313882478,1287,1287,False
1780,1616313882566,796.794677734375,1616313882566,14103.197265625,1911.8480224609375,12679.82421875,1616313882580,1287,1287,False
